Age,VDM,sigma,Unit 
565,0.6,0.5,Sept-Iles anorthosite
850,1.8,0.4,Cordova Gabbro
1000,3.1,0.4,Cordova Gabbro
1786,4.3,2.2,Hoting gabbro
1854,7.1,0.5,Shumikhinskii granites
2744,5,1.5,Stillwater anorthosites
2784,6.3,1.2,Modipe Gabbro
3215,7.5,1.2,Dalmein granite pluton
3227,6.4,2.1,Kaapvaal Valley granite pluton
3451,5.8,0.9,Barberton Greenstone Belt dacite
1087,5.9,1.1,Lake Shore Traps basalts 
1145,2.6,0.8,Central Arizona diabase sills 
1267,2.4,0,Mackenzie dikes
1450,3.4,0,Lake Ladoga dolerite dikes 
1460,1.4,0,Salmi basalt flows 
2367,1.3,0,Dharwar mafic dikes 
2411,6.8,1,Widgiemooltha mafic dikes 
2449,8.2,0,Burakovka mafic dikes 
2631,7.5,0,"8a dikes, Slave Province diabase dikes "
3409,3.8,0,Nondweni Greenstone Belt dacite 