site,lat,lon,int_abs,F_sigma,n,VDM,age,age_sigma
CB1,56.91,-2.20,50.9,15.9,5,9.8,415.5,5.8
SN1,56.69,-2.44,12.6,3.6,5,2.0,415.5,5.8
WB1/2,56.42,-2.98,16.8,5.8,11,3.7,410.8,5.6
WB3,56.42,-2.99,19.7,6.4,7,4.6,410.8,5.6
WB4,56.42,-2.99,3.1,0.3,5,0.6,410.8,5.6
WB5,56.42,-2.99,6.3,4.3,2,1.2,410.8,5.6
KH2,56.06,-3.22,6.6,3.0,6,1.6,332.0,5.6
KH1,56.06,-3.18,6.1,1.6,12,1.6,332.0,5.6
KHA,56.06,-3.18,3.7,0.5,3,0.9,332.0,5.6
KHB,56.06,-3.18,6.7,2.5,9,1.7,332.0,5.6
KH10,56.06,-3.17,5.2,1.1,4,1.3,332.0,5.6
KH4,56.06,-3.17,5.3,0.7,6,1.0,332.0,5.6
KH7,56.07,-3.17,10.9,4.3,4,2.7,332.0,5.6
KH8/9,56.07,-3.17,8.6,4.0,9,2.0,332.0,5.6