tab ,sites,,,,,,,,,,,,,,,,,,,,,,,
age,age_high,age_low,age_unit,analysts,citations,dir_alpha95,dir_dec,dir_inc,dir_k,dir_n_samples,dir_n_total_samples,dir_tilt_correction,geologic_classes,geologic_types,int_abs,int_abs_sigma,int_n_specimens,int_n_total_specimens,lat,lithologies,location,lon,method_codes,site
584.6,585.2,584,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,6.7,120.7,23.1,69,8,9,0,Igneous,Volcanic Dike,0.0000021,4.00E-08,2,12,46.237,Basalt,Augusta Lake Dyke,278.401,LP-BCR-BF:LP-PI-M:LP-PI-ARM:LP-HYS:LP-PI-BT-IZZI:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM:LP-PI-ALT-AFARM,GD02
,585.2,584,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,8.8,135.6,31.2,60,6,8,0,Igneous,Volcanic Dike,0.0000026,6.20E-07,5,18,46.236,Basalt,Augusta Lake Dyke,278.681,LP-BCR-BF:LP-PI-BT:LP-PI-M:LP-PI-ARM:LP-PI-REL-PT:LP-PI-BT-IZZI:LP-HYS:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM:LP-PI-ALT-AFARM,GD33
,599.4,584,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,32.4,115.5,17.1,16,3,5,0,Igneous,Volcanic Dike,,,0,5,46.496,Basalt,Coniston Dyke,279.159,LP-BCR-BF:LP-PI-M:LP-PI-ARM:LP-HYS:LP-PI-BT-IZZI:LP-PI-REL-PT:LP-DIR-AF:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM,GD01
,599.4,584,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,26.7,95.5,23.8,13,3,13,0,Igneous,Volcanic Dike,7.6E-06,,1,5,46.489,Basalt,Coniston Dyke,279.235,LP-BCR-BF:LP-PI-M:LP-PI-ARM:LP-HYS:LP-PI-BT-IZZI:LP-DIR-AF:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM:LP-PI-ALT-AFARM,GD14
598,599.4,596.6,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,8.7,132.7,32.6,202,3,6,0,Igneous,Volcanic Dike,0.0000018,6.70E-07,13,24,46.006,Basalt,French River Dyke,279.183,LP-BCR-BF:LP-PI-BT:LP-PI-M:LP-PI-ARM:LP-HYS:LP-PI-BT-IZZI:LP-PI-REL-PT:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM:LP-PI-ALT-AFARM,GD23
,586.3,587.7,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,6.7,137.7,75.8,61,9,10,0,Igneous,Volcanic Dike,,,0,14,45.946,Basalt,Key River Dyke,280.635,LP-BCR-BF:LP-PI-M:LP-PI-ARM:LP-PI-REL-PT:LP-PI-BT-IZZI:LP-HYS:LP-X-T:LP-IMT:LP-BCR:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM:LP-PI-ALT-AFARM,GD10
587,586.3,587.7,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,6.7,140.9,66.8,130,5,5,0,Igneous,Volcanic Dike,0.0000056,,1,12,45.961,Basalt,Key River Dyke,278.809,LP-BCR-BF:LP-PI-M:LP-DIR-AF:LP-HYS:LP-PI-BT-IZZI:LP-PI-ARM:LP-PI-REL-PT:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM:LP-PI-ALT-AFARM,GD15
,586.3,587.7,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,14.4,163.8,76.7,22,6,6,0,Igneous,Volcanic Dike,4.3E-06,,1,10,45.961,Basalt,Key River Dyke,278.872,LP-BCR-BF:LP-PI-M:LP-PI-ARM:LP-HYS:LP-PI-BT-IZZI:LP-DIR-AF:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM:LP-PI-ALT-AFARM,GD16
,586.3,587.7,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,11.9,100.6,56.2,42,5,9,0,Igneous,Volcanic Dike,,,0,11,45.843,Basalt,Key River Dyke,279.459,LP-BCR-BF:LP-PI-M:LP-PI-ARM:LP-HYS:LP-PI-BT-IZZI:LP-DIR-AF:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM:LP-PI-ALT-AFARM,GD19
,586.3,587.7,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,5.1,143.1,71.7,141,7,8,0,Igneous,Volcanic Dike,5.3E-06,0.00000157,3,6,45.898,Basalt,Key River Dyke,279.101,LP-BCR-BF:LP-PI-M:LP-PI-ARM:LP-HYS:LP-PI-BT-IZZI:LP-DIR-AF:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM:LP-PI-ALT-AFARM,GD37
585,584.2,585.8,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,5.2,297,40.1,97,9,9,0,Igneous,Volcanic Dike,0.0000037,6.90E-07,7,39,45.423,Basalt,Sand Bay Dyke,279.651,LP-BCR-BF:LP-PI-M:LP-PI-ARM:LP-PI-REL-PT:LP-PI-BT-IZZI:LP-DIR-AF:LP-HYS:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM:LP-PI-ALT-AFARM,GD29
,599.4,584,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,11.2,134.8,1.2,37,6,7,0,Igneous,Volcanic Dike,,,0,2,46.232,Basalt,Grenville Dyke,278.724,LP-BCR-BF:LP-DIR-AF:LP-HYS:LP-PI-REL-PT:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ARM:LP-PI-ALT-AFARM,GD07
,599.4,584,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,8.8,136.5,9.6,36,9,9,0,Igneous,Volcanic Dike,6.8E-06,0.00000582,2,14,45.581,Basalt,Grenville Dyke,279.507,LP-BCR-BF:LP-PI-M:LP-DIR-AF:LP-HYS:LP-PI-BT-IZZI:LP-PI-ARM:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM:LP-DIR-M:LP-PI-ALT-AFARM,GD25
,599.4,584,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,10.1,130.1,23.8,45,6,9,0,Igneous,Volcanic Dike,0.0000014,4.00E-07,2,7,46.61,Basalt,Grenville Dyke,279.645,LP-BCR-BF:LP-PI-M:LP-PI-ARM:LP-HYS:LP-PI-BT-IZZI:LP-DIR-AF:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM:LP-PI-ALT-AFARM,GD26
,599.4,584,Ma,@dthallner,10.1016/j.precamres.2014.11.029:This study,8.4,139,67.3,64,6,10,0,Igneous,Volcanic Dike,,,0,1,45.991,Basalt,Grenville Dyke,279.423,LP-BCR-BF:LP-PI-M:LP-DIR-AF:LP-HYS:LP-PI-BT-IZZI:LP-X-T:LP-IMT:LP-PI-TRM:LP-PI-ALT-PTRM:LP-PI-ALT-PMRM,GD30